sample	pattern	L1 	L2	t1	t2	tp	rate	W	freq	Q	Tmax	Stiff
157	2	0.006294298	0.002350019	1.66E-07	8.66E-07	2.79E-05	0	0.000203312	27.30432799	0.343619629	286.3122187	1.34E-04
158	2	0.005810809	0.002307181	2.45E-07	8.16E-07	2.36E-05	0	0.000107313	45.5697003	0.527035961	404.8428076	2.04E-04
159	2	0.006236815	0.003497238	1.62E-07	8.10E-07	1.65E-05	0	0.00020929	30.55109527	0.362964722	271.3711723	0.000171415
160	2	0.004595523	0.002830187	1.68E-07	7.02E-07	1.04E-05	0	0.000284735	46.77677105	0.168894821	177.9788548	7.32E-05
161	2	0.0056148	0.003865227	1.66E-07	9.68E-07	2.59E-05	0	0.000215479	35.2670129	0.47582215	354.3426169	0.000258589
162	2	0.004760142	0.002515227	2.25E-07	6.91E-07	1.13E-05	0	0.000253466	49.15636468	0.165821036	176.4486965	8.33E-05
163	2	0.005684809	0.003430425	2.14E-07	7.68E-07	1.78E-05	0	0.000263228	31.31126709	0.229861388	193.8930085	0.000199705
164	2	0.004269711	0.00362908	2.29E-07	9.41E-07	2.01E-05	0	0.000227132	62.10524494	0.334484005	299.6861964	0.000402891
165	2	0.006803578	0.002887928	1.56E-07	9.47E-07	2.26E-05	0	0.000171015	30.90093526	0.55627062	391.0794725	0.000258852
166	2	0.006988013	0.002448343	2.15E-07	8.42E-07	1.77E-05	0	0.000128437	36.29675105	0.508011022	354.1971254	1.22E-04
167	2	0.00310054	0.002842225	1.68E-07	8.90E-07	1.74E-05	0	0.000268312	89.83411363	0.242599677	288.6955388	0.000588003
168	2	0.005936919	0.003142052	1.68E-07	9.83E-07	1.53E-05	0	0.000284916	39.29831945	0.322522897	265.5008231	0.000115474
169	2	0.003895082	0.002747128	1.59E-07	8.56E-07	1.36E-05	0	0.00010901	99.10243714	0.646158858	599.2250219	0.000431869
170	2	0.005892694	0.002694875	2.16E-07	7.54E-07	2.25E-05	0	0.00010433	39.66791434	0.546317175	402.8776367	2.09E-04
171	2	0.00664228	0.003601117	2.25E-07	9.25E-07	1.77E-05	0	0.000223456	33.48865482	0.369735816	262.6062354	0.000296894
172	2	0.005301979	0.003060103	1.78E-07	6.99E-07	1.90E-05	0	0.000145543	36.99950189	0.377120024	309.6842992	0.000152703
173	2	0.006217798	0.003972208	1.53E-07	8.14E-07	1.17E-05	0	0.000260418	32.37192305	0.316133558	235.401562	8.08E-05
174	2	0.00695658	0.002133893	2.44E-07	6.07E-07	2.37E-05	0	0.000256747	17.95447835	0.142483598	134.0617843	0.000106796
175	2	0.00513655	0.003770719	2.40E-07	8.50E-07	1.28E-05	0	0.00014356	64.62210271	0.492981228	373.0271214	0.000783673
176	2	0.003728564	0.00208364	1.61E-07	8.47E-07	2.88E-05	0	0.000170891	61.87857224	0.336211927	381.3148386	0.000248911
177	2	0.004642516	0.003968699	2.45E-07	8.71E-07	2.98E-05	0	0.000253366	39.74140142	0.278802079	238.9160002	0.002769453
178	2	0.004346797	0.003324764	1.74E-07	7.18E-07	2.36E-05	0	0.000205569	39.28810699	0.269991556	254.0215854	0.000150026
179	2	0.004646374	0.003205276	2.25E-07	8.33E-07	2.10E-05	0	0.000216714	47.70887893	0.284709054	259.5633938	0.000234442
180	2	0.00504728	0.002165185	2.22E-07	9.98E-07	1.71E-05	0	0.000294252	55.45731113	0.220142335	234.4659819	0.000134209
181	2	0.004385795	0.003773088	1.95E-07	7.65E-07	1.44E-05	0	0.000125131	68.08703863	0.513723074	419.8088961	0.001190613
182	2	0.004235658	0.003452209	2.28E-07	8.78E-07	1.02E-05	0	0.000268643	75.58946391	0.242752599	233.23585	2.13E-04
183	2	0.006689328	0.003541908	1.54E-07	7.51E-07	2.41E-05	0	0.000245903	19.16971242	0.289287818	215.8578338	5.56E-05
184	2	0.003897108	0.002538109	2.17E-07	7.91E-07	2.25E-05	0	0.000147289	67.65538617	0.352634538	357.9367681	0.000486813
185	2	0.003708495	0.003659287	2.27E-07	9.74E-07	1.22E-05	0	0.000136446	127.672765	0.597343062	523.9528825	0.000768834
186	2	0.005229181	0.00354499	1.81E-07	6.72E-07	1.68E-05	0	0.000142029	38.43614521	0.38630744	306.085914	0.000148576
187	2	0.00504061	0.003812729	2.13E-07	6.41E-07	1.78E-05	0	0.000110923	43.93133914	0.46581305	354.3367051	0.001135277
188	2	0.005005132	0.002863442	2.50E-07	9.25E-07	1.97E-05	0	0.00027889	47.39973551	0.23056915	219.7774625	0.000638597
189	2	0.003550186	0.00278001	2.43E-07	9.67E-07	2.43E-05	0	0.000223667	81.80649906	0.292010286	315.7564736	0.000399526
190	2	0.004373152	0.003872055	1.62E-07	8.92E-07	2.29E-05	0	0.00026663	44.68832122	0.315371638	279.9687481	0.000212931
